tipo,nome,repositorio,kingdom,tag,url
ocorrencias,Museu Paraense Emilio Goeldi - Lepidoptera Collection,mpeg,Animalia,museu_paraense_emilio_goeldi_lepidoptera_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi - Ornithology Collection - Anatomic,mpeg,Animalia,museu_paraense_emilio_goeldi_ornithology_collection_alcoholic,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi - Ornithology Collection - Eggs,mpeg,Animalia,museu_paraense_emilio_goeldi_ornithology_collection_eggs,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi - Ricinulei Collection,mpeg,Animalia,museuparaenseemiliogoeldi-collection-aracnologiaricinulei,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi - Scorpiones Collection,mpeg,Animalia,museuparaenseemiliogoeldi-collection-aracnologiascorpiones,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi - Uropygi Collection,mpeg,Animalia,museuparaenseemiliogoeldi-collection-aracnologiauropygi,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi - Xiloteca Collection,mpeg,Plantae,museu_paraense_emilio_goeldi_-_xiloteca_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi Herbarium,mpeg,Plantae,museu_paraense_emilio_goeldi-herbarium,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Ichthyology Collection,mpeg,Animalia,museu_paraense_emilio_goeldi_ictiology_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Acanthocephala Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-acanthocephala_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Amphibia Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-amphibia_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Carcinológica Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-crustacea_collection,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Chelonia Collection,mpeg,Animalia,museu_paraense_emilio_goeldi-chelonia_collection_,https://ipt.sibbr.gov.br/goeldi/
